Nr   Verb    Uri                                                                         Return     Description
1    DELETE  /V1/addresses/{addressId}                                                   boolean    Delete customer address by ID.
2    GET     /V1/attributeMetadata/customer                                              array      Get all attribute metadata.
3    GET     /V1/attributeMetadata/customer/attribute/{attributeCode}                    mixed      Retrieve attribute metadata.
4    GET     /V1/attributeMetadata/customer/custom                                       array      Get custom attributes metadata for the given data interface.
5    GET     /V1/attributeMetadata/customer/form/{formCode}                              array      Retrieve all attributes filtered by form code.
6    GET     /V1/attributeMetadata/customerAddress                                       array      Get all attribute metadata.
7    GET     /V1/attributeMetadata/customerAddress/attribute/{attributeCode}             mixed      Retrieve attribute metadata.
8    GET     /V1/attributeMetadata/customerAddress/custom                                array      Get custom attributes metadata for the given data interface.
9    GET     /V1/attributeMetadata/customerAddress/form/{formCode}                       array      Retrieve all attributes filtered by form code.
10   POST    /V1/bundle-products/options/add                                             integer    Add new option for bundle product.
11   GET     /V1/bundle-products/options/types                                           array      Get all types for options for bundle products.
12   PUT     /V1/bundle-products/options/{optionId}                                      integer    Add new option for bundle product.
13   GET     /V1/bundle-products/{productSku}/children                                   array      Get all children for Bundle product.
14   PUT     /V1/bundle-products/{sku}/links/{id}                                        boolean    No description yet.
15   POST    /V1/bundle-products/{sku}/links/{optionId}                                  integer    Add child product to specified Bundle option by product sku.
16   GET     /V1/bundle-products/{sku}/options/all                                       array      Get all options for bundle product.
17   GET     /V1/bundle-products/{sku}/options/{optionId}                                mixed      Get option for bundle product.
18   DELETE  /V1/bundle-products/{sku}/options/{optionId}                                boolean    Remove bundle option.
19   DELETE  /V1/bundle-products/{sku}/options/{optionId}/children/{childSku}            boolean    Remove product from Bundle product option.
20   POST    /V1/carts/                                                                  integer    Creates an empty cart and quote for a guest.
21   GET     /V1/carts/licence                                                           array      Lists active checkout agreements.
22   POST    /V1/carts/mine                                                              integer    Creates an empty cart and quote for a specified customer.
23   GET     /V1/carts/mine                                                              mixed      Returns information for the cart for a specified customer.
24   GET     /V1/carts/mine/billing-address                                              mixed      Returns the billing address for a specified quote.
25   POST    /V1/carts/mine/billing-address                                              integer    Assigns a specified billing address to a specified cart.
26   PUT     /V1/carts/mine/collect-totals                                               mixed      Set shipping/billing methods and additional data for cart and collect totals.
27   GET     /V1/carts/mine/coupons                                                      string     Returns information for a coupon in a specified cart.
28   DELETE  /V1/carts/mine/coupons                                                      boolean    Deletes a coupon from a specified cart.
29   PUT     /V1/carts/mine/coupons/{couponCode}                                         boolean    Adds a coupon by code to a specified cart.
30   POST    /V1/carts/mine/estimate-shipping-methods                                    array      Estimate shipping.
31   POST    /V1/carts/mine/estimate-shipping-methods-by-address-id                      array      Estimate shipping.
32   GET     /V1/carts/mine/gift-message                                                 mixed      Return the gift message for a specified order.
33   POST    /V1/carts/mine/gift-message                                                 boolean    Set the gift message for an entire order.
34   GET     /V1/carts/mine/gift-message/{itemId}                                        mixed      Return the gift message for a specified item in a specified shopping cart.
35   POST    /V1/carts/mine/gift-message/{itemId}                                        boolean    Set the gift message for a specified item in a specified shopping cart.
36   GET     /V1/carts/mine/items                                                        array      Lists items that are assigned to a specified cart.
37   POST    /V1/carts/mine/items                                                        mixed      Adds the specified item to the specified cart.
38   PUT     /V1/carts/mine/items/{itemId}                                               mixed      Adds the specified item to the specified cart.
39   DELETE  /V1/carts/mine/items/{itemId}                                               boolean    Removes the specified item from the specified cart.
40   PUT     /V1/carts/mine/order                                                        integer    Places an order for a specified cart.
41   POST    /V1/carts/mine/payment-information                                          integer    Set payment information and place order for a specified cart.
42   GET     /V1/carts/mine/payment-information                                          mixed      Get payment information.
43   GET     /V1/carts/mine/payment-methods                                              array      Lists available payment methods for a specified shopping cart.
44   GET     /V1/carts/mine/selected-payment-method                                      mixed      Returns the payment method for a specified shopping cart.
45   PUT     /V1/carts/mine/selected-payment-method                                      string     Adds a specified payment method to a specified shopping cart.
46   POST    /V1/carts/mine/set-payment-information                                      integer    Set payment information for a specified cart.
47   POST    /V1/carts/mine/shipping-information                                         mixed      No description yet.
48   GET     /V1/carts/mine/shipping-methods                                             array      Lists applicable shipping methods for a specified quote.
49   GET     /V1/carts/mine/totals                                                       mixed      Returns quote totals data for a specified cart.
50   POST    /V1/carts/mine/totals-information                                           mixed      Calculate quote totals based on address and shipping method.
51   GET     /V1/carts/search                                                            mixed      Enables administrative users to list carts that match specified search criteria.
52   GET     /V1/carts/{cartId}                                                          mixed      Enables an administrative user to return information for a specified cart.
53   PUT     /V1/carts/{cartId}                                                          boolean    Assigns a specified customer to a specified shopping cart.
54   GET     /V1/carts/{cartId}/billing-address                                          mixed      Returns the billing address for a specified quote.
55   POST    /V1/carts/{cartId}/billing-address                                          integer    Assigns a specified billing address to a specified cart.
56   GET     /V1/carts/{cartId}/coupons                                                  string     Returns information for a coupon in a specified cart.
57   DELETE  /V1/carts/{cartId}/coupons                                                  boolean    Deletes a coupon from a specified cart.
58   PUT     /V1/carts/{cartId}/coupons/{couponCode}                                     boolean    Adds a coupon by code to a specified cart.
59   GET     /V1/carts/{cartId}/gift-message                                             mixed      Return the gift message for a specified order.
60   POST    /V1/carts/{cartId}/gift-message                                             boolean    Set the gift message for an entire order.
61   GET     /V1/carts/{cartId}/gift-message/{itemId}                                    mixed      Return the gift message for a specified item in a specified shopping cart.
62   POST    /V1/carts/{cartId}/gift-message/{itemId}                                    boolean    Set the gift message for a specified item in a specified shopping cart.
63   GET     /V1/carts/{cartId}/items                                                    array      Lists items that are assigned to a specified cart.
64   POST    /V1/carts/{cartId}/items                                                    mixed      Adds the specified item to the specified cart.
65   PUT     /V1/carts/{cartId}/items/{itemId}                                           mixed      Adds the specified item to the specified cart.
66   DELETE  /V1/carts/{cartId}/items/{itemId}                                           boolean    Removes the specified item from the specified cart.
67   PUT     /V1/carts/{cartId}/order                                                    integer    Places an order for a specified cart.
68   GET     /V1/carts/{cartId}/payment-methods                                          array      Lists available payment methods for a specified shopping cart.
69   GET     /V1/carts/{cartId}/selected-payment-method                                  mixed      Returns the payment method for a specified shopping cart.
70   PUT     /V1/carts/{cartId}/selected-payment-method                                  string     Adds a specified payment method to a specified shopping cart.
71   POST    /V1/carts/{cartId}/shipping-information                                     mixed      No description yet.
72   GET     /V1/carts/{cartId}/shipping-methods                                         array      Lists applicable shipping methods for a specified quote.
73   GET     /V1/carts/{cartId}/totals                                                   mixed      Returns quote totals data for a specified cart.
74   POST    /V1/carts/{cartId}/totals-information                                       mixed      Calculate quote totals based on address and shipping method.
75   POST    /V1/categories                                                              mixed      Create category service.
76   GET     /V1/categories                                                              mixed      Retrieve list of categories.
77   GET     /V1/categories/attributes                                                   mixed      Retrieve all attributes for entity type.
78   GET     /V1/categories/attributes/{attributeCode}                                   mixed      Retrieve specific attribute.
79   GET     /V1/categories/attributes/{attributeCode}/options                           array      Retrieve list of attribute options.
80   DELETE  /V1/categories/{categoryId}                                                 boolean    Delete category by identifier.
81   GET     /V1/categories/{categoryId}                                                 mixed      Get info about category by category id.
82   PUT     /V1/categories/{categoryId}/move                                            boolean    Move category.
83   GET     /V1/categories/{categoryId}/products                                        array      Get products assigned to category.
84   POST    /V1/categories/{categoryId}/products                                        boolean    Assign a product to the required category.
85   PUT     /V1/categories/{categoryId}/products                                        boolean    Assign a product to the required category.
86   DELETE  /V1/categories/{categoryId}/products/{sku}                                  boolean    Remove the product assignment from the category by category id and sku.
87   PUT     /V1/categories/{id}                                                         mixed      Create category service.
88   POST    /V1/cmsBlock                                                                mixed      Save block.
89   GET     /V1/cmsBlock/search                                                         mixed      Retrieve blocks matching the specified criteria.
90   GET     /V1/cmsBlock/{blockId}                                                      mixed      Retrieve block.
91   DELETE  /V1/cmsBlock/{blockId}                                                      boolean    Delete block by ID.
92   PUT     /V1/cmsBlock/{id}                                                           mixed      Update block.
93   POST    /V1/cmsPage                                                                 mixed      Save page.
94   GET     /V1/cmsPage/search                                                          mixed      Retrieve pages matching the specified criteria.
95   PUT     /V1/cmsPage/{id}                                                            mixed      Update page.
96   GET     /V1/cmsPage/{pageId}                                                        mixed      Retrieve page.
97   DELETE  /V1/cmsPage/{pageId}                                                        boolean    Delete page by ID.
98   PUT     /V1/configurable-products/variation                                         array      Generate variation based on same product.
99   POST    /V1/configurable-products/{sku}/child                                       boolean    No description yet.
100  GET     /V1/configurable-products/{sku}/children                                    array      Get all children for Bundle product.
101  DELETE  /V1/configurable-products/{sku}/children/{childSku}                         boolean    Remove configurable product option.
102  POST    /V1/configurable-products/{sku}/options                                     integer    Save option.
103  GET     /V1/configurable-products/{sku}/options/all                                 array      Get all options for configurable product.
104  GET     /V1/configurable-products/{sku}/options/{id}                                mixed      Get option for configurable product.
105  PUT     /V1/configurable-products/{sku}/options/{id}                                integer    Update option.
106  DELETE  /V1/configurable-products/{sku}/options/{id}                                boolean    Remove option from configurable product.
107  POST    /V1/coupons                                                                 mixed      Save coupon.
108  POST    /V1/coupons/deleteByCodes                                                   mixed      Delete coupon by coupon codes.
109  POST    /V1/coupons/deleteByIds                                                     mixed      Delete coupon by coupon ids.
110  POST    /V1/coupons/generate                                                        array      Generate coupon for a rule.
111  GET     /V1/coupons/search                                                          mixed      Retrieve coupon.
112  GET     /V1/coupons/{couponId}                                                      mixed      Get coupon by coupon id.
113  PUT     /V1/coupons/{couponId}                                                      mixed      Update coupon.
114  DELETE  /V1/coupons/{couponId}                                                      boolean    Delete coupon by coupon id.
115  POST    /V1/creditmemo                                                              mixed      Performs persist operations for a specified credit memo.
116  PUT     /V1/creditmemo/{id}                                                         boolean    Cancels a specified credit memo.
117  GET     /V1/creditmemo/{id}                                                         mixed      Loads a specified credit memo.
118  GET     /V1/creditmemo/{id}/comments                                                mixed      Lists comments for a specified credit memo.
119  POST    /V1/creditmemo/{id}/comments                                                mixed      Performs persist operations for a specified entity.
120  POST    /V1/creditmemo/{id}/emails                                                  boolean    Emails a user a specified credit memo.
121  GET     /V1/creditmemos                                                             mixed      Lists credit memos that match specified search criteria.
122  POST    /V1/customerGroups                                                          mixed      Save customer group.
123  GET     /V1/customerGroups/default                                                  mixed      Get default customer group.
124  GET     /V1/customerGroups/default/{storeId}                                        mixed      Get default customer group.
125  GET     /V1/customerGroups/search                                                   mixed      Retrieve customer groups. The list of groups can be filtered to exclude the NOT_LOGGED_IN group using the first parameter and/or it can be filtered by tax class.
126  GET     /V1/customerGroups/{id}                                                     mixed      Get customer group by group ID.
127  PUT     /V1/customerGroups/{id}                                                     mixed      Update customer group.
128  DELETE  /V1/customerGroups/{id}                                                     boolean    Delete customer group by ID.
129  GET     /V1/customerGroups/{id}/permissions                                         boolean    Check if customer group can be deleted.
130  POST    /V1/customers                                                               mixed      Create customer account. Perform necessary business operations like sending email.
131  GET     /V1/customers/addresses/{addressId}                                         mixed      Retrieve customer address.
132  POST    /V1/customers/confirm                                                       boolean    Resend confirmation email.
133  POST    /V1/customers/isEmailAvailable                                              boolean    Check if given email is associated with a customer account in given website.
134  PUT     /V1/customers/me                                                            mixed      Create customer.
135  GET     /V1/customers/me                                                            mixed      Retrieve customer.
136  PUT     /V1/customers/me/activate                                                   mixed      Activate a customer account using a key that was sent in a confirmation email.
137  GET     /V1/customers/me/billingAddress                                             mixed      Retrieve default billing address for the given customerId.
138  PUT     /V1/customers/me/password                                                   boolean    Change customer password.
139  GET     /V1/customers/me/shippingAddress                                            mixed      Retrieve default shipping address for the given customerId.
140  PUT     /V1/customers/password                                                      boolean    Send an email to the customer with a password reset link.
141  GET     /V1/customers/search                                                        mixed      Retrieve customers which match a specified criteria.
142  PUT     /V1/customers/validate                                                      mixed      Validate customer data.
143  GET     /V1/customers/{customerId}                                                  mixed      Retrieve customer.
144  DELETE  /V1/customers/{customerId}                                                  boolean    Delete customer by ID.
145  GET     /V1/customers/{customerId}/billingAddress                                   mixed      Retrieve default billing address for the given customerId.
146  POST    /V1/customers/{customerId}/carts                                            integer    Creates an empty cart and quote for a specified customer.
147  GET     /V1/customers/{customerId}/confirm                                          string     Gets the account confirmation status.
148  GET     /V1/customers/{customerId}/password/resetLinkToken/{resetPasswordLinkToken} boolean    Check if password reset token is valid.
149  GET     /V1/customers/{customerId}/permissions/readonly                             boolean    Check if customer can be deleted.
150  GET     /V1/customers/{customerId}/shippingAddress                                  mixed      Retrieve default shipping address for the given customerId.
